timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-08-11 00:00:00,2.85,3.47,2.8433,3.0497,151914.09,1597147199999,449342.16036700003,1613,56698.03,168597.607672,0
2020-08-11 12:00:00,3.0497,3.5208,2.8625,3.2985,1400470.69,1597190399999,4489806.77774,11877,685072.76,2201595.0734470002,0
2020-08-12 00:00:00,3.2985,3.9289,3.08,3.6842,1209918.28,1597233599999,4206908.62436,13233,620672.0,2156859.373719,0
2020-08-12 12:00:00,3.6733,3.9,3.6,3.7558,527124.67,1597276799999,1969245.1002779999,7885,268461.5,1005084.895098,0
2020-08-13 00:00:00,3.75,4.1387,3.5003,3.87,1069324.61,1597319999999,4091249.26684,14053,457796.87,1762496.8535099996,0
2020-08-13 12:00:00,3.87,4.0555,3.5385,3.73,616434.63,1597363199999,2355318.71365,8869,258561.59,993267.8944959999,0
2020-08-14 00:00:00,3.7207,3.7676,3.4267,3.7173,785009.66,1597406399999,2820118.91873,9685,326471.77,1173532.066043,0
2020-08-14 12:00:00,3.7036,3.7133,3.321,3.4099,689152.13,1597449599999,2385715.177247,8896,252180.07,875364.589424,0
2020-08-15 00:00:00,3.4181,3.74,3.1630000000000003,3.45,782876.01,1597492799999,2695137.461584,9250,334315.04,1156047.699742,0
2020-08-15 12:00:00,3.4527,3.4852,3.15,3.173,287357.19,1597535999999,962868.1606180001,4653,105308.93,354425.0298260001,0
2020-08-16 00:00:00,3.173,3.4907,3.12,3.4193,478096.8,1597579199999,1581196.013178,7537,172191.8,572374.247131,0
2020-08-16 12:00:00,3.4193,3.4726,3.34,3.3885,190009.73,1597622399999,646519.614632,3122,95247.68,324049.97137399996,0
2020-08-17 00:00:00,3.3885,3.3952,3.2,3.2891,361359.58,1597665599999,1190755.973499,4102,122674.81,404302.02411,0
2020-08-17 12:00:00,3.2891,3.2934,3.1,3.11,368054.06,1597708799999,1164573.8141309998,4530,135517.08,429302.405707,0
2020-08-18 00:00:00,3.11,3.25,2.878,3.0672,769476.98,1597751999999,2352243.483686,8840,307088.16,938821.7576370001,0
2020-08-18 12:00:00,3.0501,3.7092,2.8105,3.3407,1943638.96,1597795199999,6533062.649538,18575,969511.12,3272555.976295,0
2020-08-19 00:00:00,3.3339999999999996,3.49,2.8,3.01,883814.69,1597838399999,2746897.018964,10373,292185.64,910501.380971,0
2020-08-19 12:00:00,3.01,3.1307,2.82,2.8868,549429.07,1597881599999,1633506.46986,6703,195059.64,581448.194992,0
2020-08-20 00:00:00,2.8962,3.1898,2.8871,3.1508,457463.61,1597924799999,1391376.667009,5128,202228.34,616122.997254,0
2020-08-20 12:00:00,3.1510000000000002,3.445,3.109,3.2038,820363.71,1597967999999,2686863.664473,9041,452084.9,1484559.288072,0
2020-08-21 00:00:00,3.2038,3.24,3.0,3.0918,647127.51,1598011199999,2018413.494659,6828,207831.04,649861.266508,0
2020-08-21 12:00:00,3.0918,3.1636,2.89,2.9317,484768.39,1598054399999,1461929.180281,6129,228124.0,691063.988218,0
2020-08-22 00:00:00,2.9213,2.9386,2.7431,2.8599,594906.21,1598097599999,1673366.412981,5222,241830.47,679392.749674,0
2020-08-22 12:00:00,2.8599,3.2,2.8586,3.0126,574511.57,1598140799999,1760630.780755,5205,293780.32,899943.030222,0
2020-08-23 00:00:00,3.0224,3.2857,3.0014,3.034,480957.17,1598183999999,1497714.947344,4478,275372.76,859530.267351,0
2020-08-23 12:00:00,3.034,3.4,3.0073,3.25,717079.52,1598227199999,2348535.749026,6977,426603.68,1399635.408048,0
2020-08-24 00:00:00,3.2658,3.62,3.2144,3.4632,747001.04,1598270399999,2571498.645554,8499,383601.69,1321376.9585540001,0
2020-08-24 12:00:00,3.4707,3.5727,3.21,3.3405,568195.02,1598313599999,1933340.7716639999,6818,250610.5,860196.7845540001,0
2020-08-25 00:00:00,3.3406,3.3654,3.0601,3.18,538772.92,1598356799999,1720044.570773,6575,170131.33,543647.330355,0
2020-08-25 12:00:00,3.18,3.2854,3.0001,3.25,610414.45,1598399999999,1909846.1871810001,7651,306897.54,962585.929691,0
2020-08-26 00:00:00,3.2576,3.614,3.1809,3.605,1105073.79,1598443199999,3787049.241221,11143,657268.49,2255504.403047,0
