timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2017-08-17 04:00:00,4261.48,4349.99,4261.32,4349.99,82.088865,1502956799999,353194.33293028,334,64.013727,275647.42191079,8048.12788573
2017-08-17 08:00:00,4333.32,4485.39,4333.32,4427.3,63.619882,1502971199999,282501.15774965,248,58.78763299999999,261054.05115395,8020.6980958
2017-08-17 12:00:00,4436.06,4485.39,4333.42,4352.34,174.562001,1502985599999,774238.79831726,858,125.184133,555419.7580611,8133.19065768
2017-08-17 16:00:00,4352.33,4354.84,4200.74,4325.23,225.10971600000002,1502999999999,965291.09880366,986,165.036363,707808.20092154,8425.11285235
2017-08-17 20:00:00,4307.56,4369.69,4258.56,4285.08,249.769913,1503014399999,1079544.66293121,1001,203.226685,878286.96855663,8733.91139481
2017-08-18 00:00:00,4285.08,4340.62,4134.61,4292.39,276.193043,1503028799999,1175805.57438953,1036,214.65557,915578.05399653,8878.99116096
2017-08-18 04:00:00,4292.39,4340.62,4234.43,4300.25,248.389029,1503043199999,1063954.72616754,1135,203.646699,872408.75176393,9223.82352585
2017-08-18 08:00:00,4285.0,4371.52,4259.85,4340.31,196.140129,1503057599999,845595.8660428,880,167.10573200000005,720161.34080559,9366.91450807
2017-08-18 12:00:00,4320.52,4340.31,4193.7,4236.89,175.96938400000005,1503071999999,749458.52575861,697,147.078312,626284.07432919,9371.62988671
2017-08-18 16:00:00,4234.54,4297.75,4015.7,4136.28,193.64696999999998,1503086399999,807331.06009917,753,153.458944,641094.96292248,9365.31224186
2017-08-18 20:00:00,4135.0,4136.48,3938.77,4108.37,109.54970900000001,1503100799999,444812.55371386,732,86.92345300000002,353596.13270036,9384.14140858
2017-08-19 00:00:00,4108.37,4184.69,4084.28,4138.55,108.510448,1503115199999,449351.42223461,585,92.399174,382661.64455272,9468.40817753
2017-08-19 04:00:00,4138.5,4156.0,3933.21,4033.47,112.75207900000001,1503129599999,457214.75420634,493,76.679027,310960.50822565,9442.59220347
2017-08-19 08:00:00,4033.47,4082.25,3850.0,3957.6,77.25604200000002,1503143999999,307816.368114,481,44.21958400000001,177045.86484426,9415.13265905
2017-08-19 12:00:00,3945.12,4100.0,3928.89,3972.05,47.51557800000001,1503158399999,192323.93679216,320,33.814759,137030.5272986,9232.31800303
2017-08-19 16:00:00,4036.19,4103.92,3953.4,4076.12,25.925056,1503172799999,104478.70292304,161,20.098673,81056.62024693,9141.76888514
2017-08-19 20:00:00,4088.71,4149.99,4051.47,4139.98,9.35056,1503187199999,38298.55115136,113,7.124825,29246.70491919,9184.08552906
2017-08-20 00:00:00,4120.98,4139.98,4044.0,4094.62,6.611283,1503201599999,27090.32379014,79,5.758385,23607.94873166,9087.0625915
